admit,gre,gpa,ses,Gender_Male,Race,rank,0.001,
0,740,3.54,2,0,1,1,0,147
0,540,3.16,3,0,2,3,0,148
0,580,3.5,3,0,1,2,0,149
0,740,3.34,2,0,2,4,0,150
0,580,3.02,3,1,2,2,0,151
0,460,2.87,1,0,3,2,0,152
0,640,3.38,1,0,1,3,0,153
0,340,2.9,1,0,1,1,0,154
0,460,2.98,2,1,3,1,0,155
0,540,3.28,2,1,2,3,0,156
0,680,3.99,2,1,3,3,0,157
0,800,3.47,1,0,3,3,0,158
0,800,2.9,2,1,2,2,0,159
0,620,3.58,1,0,2,2,0,160
0,540,3.02,3,0,1,4,0,161
0,480,3.43,1,0,1,2,0,162
0,580,3.29,1,1,3,4,0,163
0,600,3.28,1,1,2,3,0,164
0,380,3.38,1,0,3,2,0,165
0,420,2.67,3,1,3,3,0,166
0,620,3.05,2,1,1,2,0,167
0,480,4,2,1,2,2,0,168
0,500,2.86,1,0,2,4,0,169
0,700,3.45,2,0,2,3,0,170
0,440,2.76,2,0,3,2,0,171
0,620,3.22,3,0,3,2,0,172
0,540,3.04,1,1,1,1,0,173
0,800,3.91,3,1,2,3,0,174
0,680,3.34,3,0,1,2,0,175
0,440,3.17,3,0,3,2,0,176
0,680,3.64,2,1,3,3,0,177
0,640,3.73,2,1,1,3,0,178
0,660,3.31,2,1,2,4,0,179
0,620,3.21,1,0,3,4,0,180
0,640,3.35,1,0,2,3,0,181
0,520,3.51,2,1,1,2,0,182
0,640,3.81,2,1,3,2,0,183
0,680,3.11,2,1,1,2,0,184
0,440,3.15,1,1,3,2,0,185
0,380,3.34,3,0,2,3,0,186
0,560,3.24,2,1,1,4,0,187
0,500,2.81,3,1,3,3,0,188
0,540,3.33,3,1,1,3,0,189
0,660,3.32,1,1,2,1,0,190
0,520,3.12,3,0,1,2,0,191
0,460,3.77,2,0,3,3,0,192
0,660,3.94,2,1,1,2,0,193
0,360,3.27,1,1,3,3,0,194
0,660,3.45,3,0,2,4,0,195
